classificacao,sentimento_manual,comentario,justificativa
Negative,,is it just me or is this emotional😢,Expresses sadness and vulnerability.
Positive,,3:14 so emotional 😢🥺,"Expresses a strong feeling of emotion, indicating enjoyment."
Positive,,That is so cool and I wish they had the lyrics,Expresses enthusiasm and a desire to see the lyrics.
Positive,,This song is a beautiful serenade which reminds us why we love beautiful music and vocals. Absolutely transcending and heavenly listening to this masterpiece. My mind has been blown away.,Expresses awe and describes the song as a transcendent masterpiece.
Neutral,,Hope this song beats baby shark My little sister who is 5 loves this song so much (sings it everytime),Expresses a desire for the song to be popular while acknowledging a child's obsession.
Positive,,I missed those random artist collaborations we used to get back in the 2010’s. This has those vibes and I’m all here for it.,Expresses nostalgic appreciation for a specific musical style.
Negative,,OK I love this song but Lady Gaga ruined the video with the trashy cigarette bullshit. The worst part was her singing and dancing (terribly) with it between her teeth. That's not a flex unless you're a carnie. No Class!,Expresses strong disapproval of Gaga’s actions and performance in the music video.
Positive,,Today I'm listening with lyrics..really it's gonna be my favourite song❤,Expresses strong positive feelings and indicates it will become a favorite song.
Neutral,,Is it bad that I initially thought this was a song from the 2010s? It seriously gives me those vibes and makes me feel nostalgic.,Expresses a nostalgic feeling while acknowledging the song's sound is reminiscent of a previous era.
Positive,,"I love that they didn't go with the obvious song titles from the beginning or end of the chorus (""If the world was ending"" or ""Next to you"") and instead pulled a phrase from the middle of the chorus",Expresses appreciation for a creative and unexpected song title choice.
Positive,,💯 talent and quality vocal,Expresses strong praise for the artist's talent and vocal quality.
Positive,,When I listen to this masterpiece I feel it deep inside my spine😭🙏♥️,Expresses intense emotional connection and appreciation.
Positive,,So emotional,Expresses a feeling of deep emotion.
Negative,,I really love this song. Beautiful voices. Beautiful lyrics. Why so much emphasis on the cigarette? To me it looked ridiculous. Not cool. Not sexy. Not glamorous. Just ridiculous.,Expresses strong disapproval of the visual element (cigarette).
Negative,,Wait this song is not 10 years old? It feels nostalgic already.🤍,Expresses disappointment and a feeling of premature nostalgia.
Negative,,This song really cuts deep 😢❤,"Expresses sadness and pain, indicating a negative emotional response."
Positive,,BRUNO MARS VOCALS-📈📈📈,Expresses enthusiastic praise for Bruno Mars' vocals.
Positive,,"Como un milagro cósmico, unidos en este instante,  en esta malla espacio-temporal que es el universo  !",Expresses awe and wonder at the music's impact and cosmic connection.
Positive,,"When I first listen this song in a Ring tone, it becomes my favourite tune and i was trying to find this song after sometime I forgeten today suddenly i search english music and found this Banger 😮",Expresses strong initial enjoyment and subsequent discovery of the song.
Neutral,,Anybody else seeing the message?,Expresses a simple observation without strong emotional content.
Positive,,Lyrics ❤ video ❤,Expresses clear affection for the music video.
Positive,,Lady gaga verse 1:28 is facts,Expresses agreement with a specific part of the song.
Negative,,Where is emotional 😭,Expresses sadness and disappointment.
Neutral,,#dhital #deuba #basyal #ojha #anuj #baraili #pariyar #bindu #bharati #xettry #bhusal #timilsina #pokharel #thapaliya #deepak #laxman #khadgi #katwal #bohora #jaishi #katuwal #regmi #lamichhane #subedi #xetri #panjiyar #bhattarai #janaki #bogati #bishwokarma #bishowkarma #kunwar #khattri #rokaya #dangi #bohara #pathak #khatiwada #upreti #chaulagain #ranabhat #budhathoki #baskota #gaire #bhatta #mahat #tiwari #YTrends #YTrendsApp,Contains a list of names and hashtags without expressing any clear sentiment.
Neutral,,Is the reason this song is so popular because it’s SO DAMN CATCHY?,Expresses a questioning observation about the song’s popularity.
Positive,,"Flawless vocals, great original composition",Expresses strong praise for the vocals and musical composition.
Positive,,Amazing song with absolutely sick vocal harmonies 🤘🤘🤘🤘,Expresses enthusiastic praise for the vocal harmonies.
Negative,,That's enough... This song is boring alr,Expresses strong dissatisfaction and boredom with the song.
Positive,,Bruno Mars voice is fantastic and songs lyrics are amazing ❤,Expresses strong appreciation for the vocals and lyrics.
Negative,,Worst song ever!,Expresses strong disapproval and labels the song as the 'worst ever'.
Positive,,Summer/Fall Vibes ❤,Expresses a positive feeling associated with the song's atmosphere.
Positive,,"The way she dances to the music at 2:52 is clear evidence that this woman is the last after Madonna, that history will never witness another woman with this kind and talent.",Expresses strong admiration and claims her as a superior artist.
Neutral,,This song has a different vibe in our heart 🧘🧘,Expresses a personal feeling without strong positive or negative judgment.
Neutral,,"Katy Perry realized only after losing the man that loved her so much that she wrote a song about him like ""no money can buy me s time machine"" it's deep.",Expresses a positive sentiment about the song's depth while also implying criticism of its lyrical content.
Positive,,Bruno Hernandez really hits those notes,Expresses admiration for Bruno's vocal performance.
Neutral,,Bruno Mars's vocal are great. The female vocalist is a good complement but she lacks the quality.,Praises Mars's vocals while criticizing the female vocalist's quality.
Positive,,It's worth living to love someone deeply❤,Expresses a strong positive emotion of love and connection.
Positive,,Hit atemporal ❤,Expresses a timeless and cherished feeling.
Negative,,All autotuned and layered. Makes you second guess their talent.,Expresses skepticism and criticism of the artist's perceived lack of genuine talent.
Positive,,Their range and pitch compliment each other really well. Beautiful song.,Expresses appreciation for the vocal harmony and overall song quality.
Positive,,Jesus! Bruno Bro those vocals are INSANE!,Expresses strong admiration and excitement about Bruno Mars' vocals.
Positive,,THE IS HISTORYYY,Expresses enthusiastic excitement and appreciation.
Negative,,"Gaga w/ a cigarette is such a terrible 'look'. What were they going for w/ an image like that? Certainly artsy but far from classy or appropriate. Destroyed the entire video for me. Pretty song, they make a great writing team along w/ the three collaborator's. It's odd to me the video description didn't mention Gaga's cigarette but the red tights were.",Criticizes Gaga's image as being inappropriate and detracting from the video.
Positive,,"everyday, in office it makes me crazy with its every beat, words...❤",Expresses intense positive feelings and love for the song.
Positive,,I had given up on current music..............this is amazing!  The lyrics are just perfect for someone you love.,Expresses strong positive feelings and appreciation for the lyrics.
Positive,,"Hi Stephanie, I hope you don't mind me calling you that, I didn't come here to give you a suggestion or hire you to do a show, I came to do something better, I came to praise you and apologize to you, I was so stupid, I wish I had known your story before judging you, many may see this message as pity for what happened, but no, your story is inspiring, I started judging you because I saw everyone doing it, because I preferred to be manipulated by the opinion of others, but now I have formed my own opinion about you, and I wanted to say that I am a big fan of yours, I wanted to meet you in person, hug you and apologize in person, but as that day has not yet arrived, I hope you forgive me for everything, and I want you to know that I have huge thoughts for the future because of you, but one day you will find out what it is, I want you to know that I think you are beautiful, strong, determined and wonderful, I hope you forgive me for everything I said about you, and that I am very sorry for the bullying and rape you went through, a kiss until any day, year, whatever, bye 🤗🎉😍😚😊❤","Expresses deep admiration, apology, and heartfelt feelings towards the artist."
Positive,,"Came for the thumbnail, stayed for the vibes",Expresses enjoyment of the music and atmosphere.
Positive,,Chills,Expresses a feeling of awe and excitement.
Positive,,One year and one of the most hits in history,Expresses strong approval and considers it a significant hit.
Neutral,,La de awita t deep❤,"The comment expresses a simple, heartfelt emotion without clear sentiment analysis."
Neutral,,No one can Beat Eren Yeager.,Expresses strong support for a character while acknowledging a potential comparison.
Positive,,"I'm not a big fan of secular music but this remind me of the 60s, 70s & 80s when music and lyrics really connected and had meaning","{""sentiment"":""Positive"",""justification"":""Expresses fondness for the song’s nostalgic connection to classic music.”}"
Negative,,Show emotional video😢😢😢,Expresses sadness and distress through repeated crying emojis.
Neutral,,Children People Astronaut Reversed Rewind Control Day,"Abstract, nonsensical comment with no clear sentiment."
Positive,,"“Love this lofi vibe! I just dropped a similar track on my channel ‘Lofinest’, would love your thoughts.”",Expresses enjoyment of the song and promotes the user's own content.
Positive,,"JESUS CHRIST IS COMING VERY SOON,  He died for you, and wasting time on this earth ent worth it. Jesus is the answer to your pain, your sorrow, that heavy heart, he can fix your breathing problems, when you feel like you can't breathe properly, he can fix it. And mostly JESUS CHRIST is the only one who can full that emptiness in you, an emptiness that money, songs, food, and pleasure can not full, all these things are temporary. But JESUS, he would satisfy you unto eternity. I was lost in this world, and Jesus came to me. He can come to you too if you just repent and give your life sincerely to him, don't take it because JESUS wants it, and your life is worth living, if you just give it to him.",Expresses profound faith and belief in Jesus as a solution to life's problems.
Negative,,This song so annoying on social media and at work,Expresses frustration and annoyance with the song's presence.
Neutral,,Am I the only one who thinks Gaga overdid it; she should have stuck with the original melody.,Expresses a desire for a different approach while acknowledging positive aspects.
Neutral,,Lady Gaga gives me Amy Winehouse vibes here.😢,Acknowledges a positive comparison while expressing a slightly sad feeling.
Positive,,This song takes you to the depths of deep emotions. Lady Gaga has shown that she is worthy of much praise.❤❤❤❤❤,Expresses strong admiration and praise for Lady Gaga's artistry.
Neutral,,Feels like old with modern vibe,Expresses a blend of nostalgic and contemporary feelings.
Negative,,That French piano melody in the middle…. such a chiefs kiss.,Uses a dismissive phrase to criticize the song's section.
Positive,,Such a beautiful  song the lyrics  are simply  incredible ❤❤❤❤❤❤❤❤❤❤😂😂😂😂😂😂😂😂😂😂😂😂🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,Expresses strong positive emotion and appreciation with repeated heart emojis.
Positive,,70's to 80's vibes,Expresses a positive association with a nostalgic musical era.
Neutral,,"When I Listen This Song, I Remember Eren x Mikasa Tragic Love Story","Expresses a nostalgic, potentially bittersweet memory linked to the song."
Positive,,"It became the biggest HIT of all time and it deserves it. We all feel connected to your melody, thank you",Expresses strong affirmation and connection to the song.
Neutral,,Hliary is the best player on the planet and the best of the worst in the league but I don’t see any reason to be upset about him not being a starter in the future if he doesn’t play 0:30,Expresses admiration while criticizing his lack of starting potential.
Positive,,I absolutely love the vintage vibe of this video,Expresses strong enjoyment of the video's nostalgic aesthetic.
Positive,,"Epic song, this one will be around for a long time. Love it. ❤ amazing vocals ❤",Expresses strong positive feelings and admiration for the song's quality.
Positive,,This song reminds me how beautiful this universe can be.,Expresses awe and appreciation for the song's positive impact.
Positive,,"BAM, this gives me chills, really hits the spot, and checks ALL the boxes... great in every way. ❤",Expresses strong positive feelings and satisfaction with the song.
Neutral,,He actually beats musical instruments. supercalifragilisticexpialidocious vocals.,Expresses praise for vocals while highlighting a potentially negative action (beating instruments).
Neutral,,"best bruno collab, definitely!! the other one is too childish and ridiculous lyrics just like the girl's group",Expresses a positive opinion while criticizing a previous collaboration as childish and with poor lyrics.
Positive,,3:11 from here it hits deep ❤,Expresses strong emotional connection to a specific point in the song.
Positive,,"I used to listen to this song with my siblings all the time around the end of last year and they've all been taken into foster care recently. I love and miss you guys so much. I remember watching the second season of squid game with them and them playing their stupid YouTube videos that I found annoying at the time and now I would give anything for them to annoy me again. Know that I'm fighting for you guys every single day and I will hopefully see you guys in the near future. If the world was ending, I'd wanna be next to you ❤",Expresses deep affection and longing for family members.
Negative,,"By far the worst lip syncing, unbelievably unnatural; not expected from the team that works for such famous artists.",Expresses strong criticism of the artist's lip-syncing skills.
Negative,,"Recently, I had a dream of my sister, who passed away in November of 2024 . I watched her walk into a house where we had a gathering, and my mind was telling me how.  She couldn't be here knowing that she had passed already . And I immediately started to cry and she looked at me and told me everything was ok and not to cry .I was crying so hard that I woke myself up and I was still crying . Then, as I was leaving for work the this song played, and listening to the 1st verse hit me so hard.  I love you Lena , I miss you more than ever . Until we meet again +❤+❤+❤+",Expresses profound grief and sadness related to a recent loss.
Positive,,This video is incredible with the music. Also fallout vibes. Id love to hear this on there,Expresses enthusiastic appreciation for the video and music.
Positive,,"""I came for Gaga, stayed for the beat 🔥🎤 Last night wasn’t just a song — it was an EXPERIENCE! Who else had this on repeat all week? 😂💃🕺""",Expresses strong enjoyment and excitement about the song and Gaga's performance.
Positive,,"Everytime I hear this song it pulls at my heartstrings...I just love it. Both of you are incredible vocalists and beautiful artists. And Bruno is so handsome.and his voice,LadyG got it goin on..love this duo!!!!",Expresses strong affection and admiration for the artists.
Positive,,Why does this song make me so emotional but in a good way,Expresses a positive and evocative emotional response to the music.
Neutral,,"Lisa Renee and her Energetic Synthesis out of America,Lithuania and Britain-promise sect to me",A factual statement with no expressed sentiment.
Positive,,This song is amazing awesome vocals just beautiful !,Expresses strong positive feelings about the song and vocals.
Negative,,"▬ The notes are taken from another 80's song, it has the entire interlude, bridge and chorus, only modern.",Criticizes the song for derivative and unoriginal elements.
Positive,,Bruno is the Paul McCartney John Lennon and Brian Wilson all into one in today’s world of ever changing music . Heart soul meaning and emotion with absolute perfect vocals and harmonies unlike any other in the last decades or so and Gaga well what can you say she’s sensational and owns the stage . Beautiful song,Expresses high praise for Bruno Mars and Gaga's talent and performance.
Positive,,"The message is magic and gorgeous!!! Why do we have arguments and live screaming? We need peace in each aspect and love can help people to survive. Also, their outfit is fantastic. Congrats!!!",Expresses positive feelings about the song and praises the artist's attire.
Positive,,It's my favourite song and I'm singing it right now know all the lyrics❤❤❤❤❤❤❤,Expresses strong enjoyment and enthusiasm for the song.
Positive,,0:09 to 0:30 is such a vibe,Expresses enjoyment and appreciation of a specific section of the song.
Negative,,This is annoying!!!,Expresses frustration and annoyance.
Neutral,,The way she just vibes with the cigarette and sings casualy wow so natural,Expresses admiration for the artist's natural vibe while subtly criticizing the cigarette imagery.
Positive,,i am 129 years of age .... thanks to this powerfull artist for sharing verygood music ❤❤❤,Expresses strong positive sentiment and appreciation.
Negative,,My cat died yesterday 😢I’m so sad this song help me whit terrible grief 😭😢❤️ 🕊️,Expresses deep sadness and grief related to a lost pet.
Positive,,Lucky are those who are actually living through this lyrics for real!!!🥹✨♥️,Expresses a joyful and hopeful sentiment related to the song's lyrics.
Positive,,The lyrics of this song really speak to me.,Expresses a personal connection and appreciation for the song's lyrics.
Positive,,"I'm still watching right here right now, I'm getting fallen into this song, what beautiful and legendary lyrics and music.",Expresses strong admiration and describes a captivating experience with the song.
Positive,,Those who understand the lyrics they are gem 💎,Expresses appreciation for the song's lyrical depth.
Neutral,,People Astronaut Reversed Rewind Control Day2️⃣0️⃣0️⃣0️⃣📅📆🗓️👩‍🚀👨‍🚀👪👨‍👩‍👦🌏🌎🌍🌌🇻🇳🆗👍,Contains emojis and general positive affirmation without expressing a clear opinion about the music.
Positive,,What a catchy tune ❤,Expresses enjoyment with a heart emoji.
Neutral,,Senior pink backstory,Describes a narrative element without expressing positive or negative sentiment.
Positive,,This feels nostalgic for some reason,Evokes a feeling of pleasant reminiscence.
Negative,,"I don't really like monkeys, cus monkey will grab what you have in your hand. Bruno Mars can relate it from his family. I don't like bruno sorry.  They are ""feekin dam"" who can't even make 4 lines in second prechorus. Theyy just monkey who grab that song. People will become so pathetic with that monkeys.","Strongly dislikes the song and artist, calling them 'pathetic' and 'monkeys'."
Positive,,Bruno has real music that has melody,Expresses appreciation for the song's melodic qualities.
Positive,,Welcome back Bruno..we missed your vocal 😢,Expresses joy and longing for the artist's return.
