classificacao,comentario,justificativa
Negative,Man this would sound so good if the lyrics and point of the song was different 😭,Expresses disappointment and frustration with the song's lyrics.
Negative,"What the heck is this, the lyrics has no sense. Literally she's saying that he already forgot his ex and he is in love with her now...",Expresses confusion and criticism regarding nonsensical lyrics.
Positive,It gives me Alanis Morrisette vibes and I love it 💕,"Compares the song favorably to Alanis Morrisette, expressing a positive feeling."
Negative,The worst song she ever made,Expresses strong disapproval and labels the song as 'the worst'.
Negative,"You listen and wonder why you experience suicidal emotions.  Every sin is on display, pride, envy, covetness...you are what you eat. Take care kids","Expresses intense negativity and despair, criticizing the song's themes."
Positive,"Baby, I’m so obsessed with you too, Olivia I took one of the lyrics from her song, lol",Expresses admiration and fondness for the artist.
Neutral,You can hear the chorus in telephone in this part 1:42,Identifies a similarity to another song without expressing strong positive or negative feelings.
Positive,"Olivia Rodrigo does it again! 'Obsessed' is a powerful anthem with raw emotion and an addictive beat. The visuals are stunning, and Olivia's vocals are as captivating as ever. This song is definitely going to be on repeat for a while! 🔥",Expresses strong enjoyment and predicts frequent listening.
Neutral,This gives emo vibes…,Mentions a stylistic comparison without expressing a positive or negative opinion.
Neutral,The chorus reminds me of 2 other songs she just came out with. That style and sound is very repetitive,Expresses a feeling of repetition and similarity to other songs.
Positive,Nice sound and vocals… plus eye candy 😛,Expresses enjoyment of both the music and the visuals.
Neutral,This giving me Taylor vibe 🐸,"Uses a popular slang term referencing Taylor Swift, without expressing a strong positive or negative opinion."
Positive,Olivia is so good at acting out insecurities and awkwardness. Love that this music video for obsessed is about the absurdity of beauty pageants. Adore the white gowns and sashes and her girl band are wearing tuxedos. And Olivia’s black dress and hair when performing! Brilliant genius lyrics! And how confidence she is at putting rock punk with her pop🖤🤍😍🥰🤩😘🎥📺💎🫶🏻🎬⚜️🏆👑 📝 🎵 🎶 📝 🌟 ✨ 🎸 🥁 🎤 👗,Expresses strong admiration and enjoyment of the music video's visuals and Olivia's performance.
Positive,"Catchy, I'm glad You Tube decided to play it!",Expresses satisfaction and appreciation for the song's inclusion.
Neutral,Me dio vibes de la era de ashly Simpson,"The comment expresses a similarity to a previous era of an artist, without strong positive or negative emotion."
Neutral,Deepa i there?,A simple greeting with no discernible sentiment.
Negative,Worst song😢,Expresses strong disappointment and sadness about the song.
Negative,broo this song / lyrics is sooo toxic lol.,Expresses strong disapproval and identifies the song's content as toxic.
Neutral,She gives me Avril Lavigne vibes,Compares the artist to Avril Lavigne without expressing strong positive or negative feelings.
Negative,The lyrics and meaning of this is the EXACT reason modern couples are miserable. My god the amount of serial killers and angry lesbian there are going to be,Expresses strong disapproval and judgment of the song's themes.
Negative,Am I the only one who heard that my friend made a song just like this like the lyrics was😭😭,Expresses disappointment and comparison with a negative connotation.
Positive,"Honestly. I can't currently relate to 80% of her lyrics, but her feel is so unapologetic punk that I appreciate it.",Acknowledges a positive aspect (punk feel) despite a lack of personal connection to the lyrics.
Neutral,"Weird chord progression in the chorus, kinda sounds unsettling. Really good symbolism for this song and the character she’s putting on",Mixed reaction; acknowledges an unsettling chord progression alongside positive praise for symbolism.
Negative,This song gives the vibe of a comp het  girl projecting her attraction for guys ex onto him,Expresses a negative and potentially uncomfortable interpretation of the song's theme.
Positive,SOOOO much 90s The Cranberries vibe ❤,Expresses strong nostalgic appreciation for The Cranberries' sound.
Positive,Giving me freaky friday vibes,Evokes a nostalgic and enjoyable comparison.
Negative,"Okay, lets analyze this with a summary. at 0:01, we can see 2 women. They both have pageants and it says ""Miss thought she was the one"" and ""Miss also thought she was the one,"" which can have several meanings on what its on. One, their his exes and they thought they were the one for him but they broke up somehow. They also dont seem very happy, and the blonde girl is smoking a cigarette to express emotional distress. Meanwhile, on this scene, 0:09 we can see that they are going to a ball. That could be another reason they thought they ""thought they were the one"" Meaning they didnt get to dance with the person they wanted. at 0:16, we see 2 women, ""Miss freshman year,"" and ""Miss our him in therapy"" Which can clarify these could be his exes. Now, ""Miss focus on my career"" could be the one Olivia is jealous over and and perhaps the somg is about. (A little side note after actually watching the video, 1:16 may actually the girl the song is about and therefore olivia is jealous of, unless its about more of than of them.)","Detailed analysis highlighting sadness, jealousy, and potential misinterpretations of the video's themes."
Negative,Were is fucking lyrics,Expresses frustration and anger about the missing lyrics.
Neutral,"god, these  lyrics are just so realistic",Expresses a neutral observation about the lyrics' realism.
Negative,"She is angry, loud, and annoying. Is she always mad about something?",Expresses strong negative opinions about the artist's demeanor and personality.
Negative,So generic....,Expresses a critical and dismissive opinion about the song's lack of originality.
Neutral,Olivia Rodrigo and Madonna have similar vibes,"Compares two artists, presenting a neutral observation."
Positive,"When Olivia did that one acoustic set that’s on YT (probably years ago now), I went down a rabbit hole searching for the drummer. Hayley Brownwell, such a badass. Love them all!",Expresses admiration for the artist and their music.
Neutral,Some reason this is giving Freaky Friday vibes,"Compares the song to another, without expressing positive or negative feelings."
Positive,"I really likes this video compared to the one you released yesterday, ir seems like a good movie full of drama and rhythm. The sound is totally impressive, it sound to me like good music from the nineties! Now tell life everything you want to say without gag or mincing words, dear miss olivia.","Expresses enjoyment and compares favorably to a previous release, praising sound and referencing a nostalgic era."
Neutral,The chorus kinda sounds like Telephone By Lady Gaga,Identifies a similarity to another song without expressing a strong positive or negative opinion.
Positive,The voice and the lyrics just is in another level 😊,Expresses strong positive feelings about the voice and lyrics.
Positive,This is sooooo good it gives me 2021 vibes ❤❤❤,Expresses strong positive feelings and associates the music with a specific year.
Positive,"Just Love It! You.. The Lyrics.. The Clip!..! Well Done… Greetsss, MacG420, x",Expresses enthusiastic enjoyment of the song.
Positive,Loving this album vibe ❤,Expresses strong positive feelings about the album's vibe.
Positive,Guys admit it Olivia Rodrigo is the best artist and she is so creative with all her songs her lyrics her videos and she is so funny in her yt shorts and I would cry myself to sleep without her music I LOVE OLIVIA,Expresses fervent admiration and dependence on Olivia Rodrigo's music.
Neutral,Anyone else get Billie eilish vibes?,Identifies a stylistic similarity without expressing strong positive or negative feelings.
Negative,It’s giving brutal vibes 💅✨✨,Uses slang to express a negative and critical feeling about the music video.
Negative,"Lol, when you sended me the lyrics, i've thought it was going to be a ballad, the two that tought they were the one... nice joke olivia...",Expresses playful but critical amusement at Olivia's lyrical choice.
Positive,"The lyrics, it hit me like dangggg 🤣 HAHAHAHHAHAHAH",Expresses enthusiastic enjoyment and amusement.
Neutral,"The melody is actually cool, but I can't really hear a music saying I'm obsessed with my current's ex.","Expresses a lukewarm opinion, acknowledging a positive element while pointing out a problematic lyrical issue."
Positive,IS SO BEATIFUL,Expresses strong positive emotion and appreciation.
Negative,"This gives me ""bad idea right vibes 💜💜💜💜💜","Compares the song to a disliked track, indicating a negative opinion."
Positive,Love the vibe!,Expresses enthusiastic enjoyment of the song's atmosphere.
Negative,Sorry but why does the chorus sounds like Lady Gaga's Telephone 🥺,Compares the chorus unfavourably to Lady Gaga's 'Telephone'.
Positive,Why the chorus sounds like Lady Gaga's Telephone song OMFG I love it ❤😂,Expresses enthusiastic enjoyment and comparison to a well-regarded song.
Negative,Worst song I’ve ever heard lol,Expresses strong dislike and uses a dismissive expression.
Neutral,This is giving me Sour vibes,Uses a popular comparison to indicate a similarity to another song.
Negative,Ummm I don't really like this song bc it's out of control and I can't sing a beat SORRY,Expresses dislike and inability to sing along.
Negative,this one goes out to all the selfconsious 14 year olds lmao. she caught it there on the chorus for about 5 seconds,"Sarcastic and dismissive, mocking the listener's reaction."
Negative,Umm I am sorry so u know I am a fan of olivia and this is also feedback I don't really like it as it dosnt make sense and also it's horribly repetitive and I can only hear I am so obsessed with ur ex once agin THIS IS NOT HATE ITS FEEDBACK TY,Expresses dislike due to repetition and lack of sense.
Positive,Love the almost alanis morissette vibes!,"Compares the song favorably to Alanis Morissette, indicating a positive sentiment."
Positive,I'm SORRY OLIVIA.....I can't....saw her in concert and it hit then and it hits now. I look the vibe of this sound like 2000s girl pop gunge and I LIVE,Expresses strong positive feelings and nostalgia for the music.
Positive,Song gives me paramore vibes 💕,Expresses a positive association with the song and the band Paramore.
Positive,"I'm not obsessed with anybodys ex but THIS SONG BANGS SO DEEP, I'm obsessed with Olivias Voice, the melody, the whole sound. ❤❤❤❤❤",Expresses strong enjoyment and appreciation for the song's elements.
Positive,Back to driver license vibe baby ❤,Expresses fondness and similarity to a previously successful song.
Neutral,I like the beat but i dont understand the song lol😀,Expresses a partial liking with confusion about the lyrics.
Positive,I heard this on the radio I love it it gave me alternative grudge 90s rock ‘n’ roll vibes get it Olivia!🎉,"Expresses enjoyment and associates the song with a positive, nostalgic vibe."
Positive,"Ameiii a batida, a vibe é como ouvir cage the elephant na MTV. ❤ amando demais essa vibe dela. ❤",Expresses strong positive feelings and compares the music to a well-regarded artist.
Neutral,Ngl it's giving Melanie martinez vibes,"Uses slang to describe a comparison, indicating a neutral assessment."
Negative,"good for her to try to sound different but too dramatical and not musical enough, rough melody, meh",Expresses dissatisfaction with the song's dramatic and unmusical qualities.
Neutral,"I'm getting ""Telephone"" vibes from this chorus","Compares the chorus to another song, indicating a similarity without expressing strong positive or negative feelings."
Negative,"Miss long distance made me sick to see, ohhh my lord you mean miss emotionally cheating on 5 other men",Expresses strong disapproval and disgust regarding infidelity.
Positive,the smashing pumpkin's & garbage vibes got me obsessed,Expresses enthusiasm and a strong positive association with the music.
Negative,I don’t like this sound because it’s so annoying to even think about,Expresses strong dislike and annoyance with the music's sound.
Negative,Lmao the lyrics ahahhaha,Sarcastic laughter indicates a negative opinion of the lyrics.
Negative,OLIVIA ISABEL RODRIGO IS NOT UNIVERSE OR THE UNIVERSE.,Expresses disbelief and criticism of Olivia Rodrigo's music.
Positive,This music is so  emotional and she have a very specific voice,Expresses positive feelings about the emotional quality and unique vocal style.
Positive,A melhor de todos os tempos ✨️,Expresses strong admiration with the ‘best of all time’ statement.
Positive,Wow this is giving early 2000s music video vibes,Expresses a nostalgic and positive association with the music video's style.
Neutral,I swear even though the beat is good its really the lyrics i pay attention to this girl is me when it comes to boys except he isnt my ex hes just a crush and i happen to know one of his exes so yes im obsessed,Expresses a mixed reaction – acknowledging a good beat but focusing on lyrical content and personal connection.
Positive,Good for you vibes,Expresses encouragement and positivity.
Neutral,I literally just listened to the song and I already know the full lyrics,Expresses a simple observation without strong emotion.
Negative,What’s with these incoherent lyrics 😂,Expresses confusion and criticism regarding the song's lyrics.
Neutral,It gives off Yellow jackets vibes,Makes a comparison to another song without expressing a clear positive or negative feeling.
Neutral,Too wong foo - Body beatiful,The comment expresses a simple observation about the song title.
Positive,I really love how she has rock vibes! So cool!,Expresses strong positive feelings about the artist's rock influences.
Positive,"It's giving ""girl crush"" vibes xD",Expresses enjoyment and association with a positive aesthetic.
Negative,Her worst title track.... Tbh,Expresses a negative opinion about the song's title.
Negative,"I have just realised I have major red flags, listening to the lyrics of this song made me so attracted to this girl! I miss that psycho love!",Expresses attraction to negative and potentially harmful feelings.
Positive,I know her blood type... LOL - Hilarious lyrics!,Humorous comment expresses amusement and appreciation for the lyrics.
