classificacao,comentario,justificativa,sentimento_manual
Positive,"The worst part us that this shi slaps,problem is he shot this a Kendrick","Despite a critique of the filming style, the commenter expresses strong positive feelings about the music itself (",
Positive,This and Family Matters 3rd verse were Drakes best punches in the beef,"The comment expresses a positive opinion, praising Drake's lyrical delivery as 'best punches' in a competitive situation.",
Negative,"Lame lyrics, smh",The use of 'lame' and 'smh' indicates a negative opinion about the song's lyrics and the commenter's reaction.,
Positive,Funny thing is... all the swiftys got the verse live😬,"The comment expresses amusement and excitement about a particular event, indicating a positive feeling.",
Positive,Anyone notice the beginning like Tech N9ne and goes on with the beat of Table Chess Press? Anyone notice that,"The comment expresses positive recognition of a specific musical influence and comparison, indicating enjoyment of the video's sound.",
Negative,Drake the diddler and his fake disney thuggin.  Does anyone take this clown seriously he got bodied at every turn vs kdot. Talking nobody takes a chain from us? Yeah they get him for watches though. Using ghost writers too? Drake lost the worst of any rap battle in history like x 5.,"The comment expresses strong criticism and negative opinions about Drake's music and performance, using terms like 'diddler' and 'clown', indicating a decidedly negative sentiment.",
Positive,Ngl this songs very good. But Kendrick obliterated the songs vibes😭,The commenter expresses a positive opinion by stating the song is 'very good' despite acknowledging a powerful emotional response.,
Negative,What is this Kingdom Hearts ass beat?,The comment uses dismissive and critical language ('ass beat') suggesting a negative opinion of the music video's style.,
Positive,Dang that feature with Taylor verse was witty I ain’t expect him to do some nice like that. Kdot took the round tho,The commenter expresses admiration and positive opinions about Taylor Swift's verse and Kdot's response.,
Negative,Drake need new lyrics why boy always out in Tokyo,"The comment expresses dissatisfaction with Drake's current lyrics, suggesting a negative opinion about his music.",
Negative,Same old aubrey-  relying on the Beats to carry him. He sounds corny..,"The comment expresses criticism of the singer's performance and voice, indicating a negative sentiment.",
Positive,I dismissed Drake and I can't say he beating this,The comment expresses a positive opinion by stating the artist successfully performed the beat.,
Negative,Beat carried this shit sound like a youtuber made this😂,"The comment expresses a critical and humorous judgment of the music video's quality, using sarcasm and a negative descriptor ('shit').",
Negative,The beat 😭😭😭😭😭😭😭😭😭😭,The excessive use of sad face emojis indicates a negative emotional reaction to the music video's beat.,
Neutral,"nice beat, mid lyrics","The comment expresses a mixed opinion, acknowledging a good beat while simultaneously criticizing the lyrics, indicating a neutral sentiment overall.",
Positive,It's a no def with the beat,"The commenter is expressing enjoyment of the song's rhythm and energy, indicated by the phrase 'no def with the beat'.",
Positive,Honestly if The beef ended after euphoria then drake couldve won cuz this song kinda catchy and euphoria kinda boring and long.,"The commenter expresses a positive opinion by stating the song is 'kinda catchy,' indicating enjoyment.",
Negative,"Whoever wrote these lyrics came with some heat, too bad they don’t get the credit they deserve. There is no drake and Kendrick beef. I’m hearing no credit wroters vs Kendrick beef tho. Drake playing himself too…how can you claim you’re feeding people fake info when you’re being fed diss bars","The comment expresses frustration and criticism towards the lyricists and Drake's actions, indicating a negative sentiment.",
Positive,I like this beat and stuff but Kendrick still my number one over him. 😂😂,"The commenter expresses liking the beat while acknowledging Kendrick's continued status as their favorite artist, indicating a positive overall impression.",
Positive,The beat harder than the song😂,The use of 'harder' and the laughing emoji suggest a positive and enthusiastic reaction to the music.,
Neutral,And then Not Like Us became #1 everywhere including Canada that has the whole world dancing and chanting lyrics about Drake being a sex pervert and predator.,"The comment contains both positive mentions of the song's popularity and negative criticisms about Drake's alleged behavior, creating an ambiguous sentiment.",
Negative,This is generic crap lol. What the hell?,"{""sentiment"":""Negative"",""justification"":""The comment uses dismissive language ('generic crap') and expresses frustration ('What the hell?')}",
Negative,"Beat is weak, rap is weak person behind it is weak. Drake is trash","The comment expresses overwhelmingly negative opinions about the beat, the rapper, and the artist Drake, using terms like 'weak' and 'trash'.",
Positive,"This is a masterpiece, when the dust settles and time goes by people will remember how beast this was, gives me emeinem - the sauce vibes.","The commenter expresses strong positive admiration for the music video, using enthusiastic language like 'masterpiece' and 'beast'.",
Positive,Stg yall taken this shi so deep both of the disses hit hard,"The commenter expresses admiration for the diss tracks, indicating a positive reaction.",
Positive,The beat is hard tho wait a minute 😂😂🔥🔥🔥🔥🔥,The user expresses enthusiastic approval using emojis indicating excitement and liking of the music video's beat.,
Negative,I’m back to say he stole these lyrics from battle rappers and have ghostwriters smh,"The comment expresses strong disapproval and accusations of plagiarism, indicating a negative sentiment.",
Negative,What a crappy music and lyrics,"The commenter uses the word 'crappy', indicating a strongly negative opinion of the music and lyrics.",
Negative,If we can be honest.......This ain't it. Catchy yes. This ain't it though.,"The commenter expresses disappointment with the music video, stating 'this ain't it,' indicating a negative sentiment.",
Neutral,"I like this song, the beat, the hook but the more I listen to it it sounds like he is reading the lyrics he should have studied until he had it memorized even if he did write it","The comment expresses a positive initial reaction ('I like this song') but introduces criticism regarding the artist's performance, creating a mixed sentiment.",
Negative,The worst part ab this is that drake aint even write this shit. Cmon bruh.,"The comment expresses frustration and criticism of Drake's involvement in the song's creation, indicating a negative sentiment.",
Negative,He said they got him out here rapping how he's living it's bc he never did it Drake need to just give up frfr he always been still another rapper's   verses he 🗑️ I really don't even see how he made it this far,"The comment expresses frustration and criticism towards Drake's music and career, using negative language and dismissive emojis.",
Negative,Ryan upchurchs song drake stole this from him😂 the whole beat the song name it’s all Ryan upchurchs watch the real shi it’s way harder anyways drake got this little ah boy voice😂🤏🏻,"The comment expresses frustration and disparagement towards Drake's music, using terms like 'stole' and 'way harder,' indicating a negative sentiment.",
Negative,Both tracks are garbage can we plz fast forward to the shooting? Quit waisting time and beats,"The comment expresses dissatisfaction with the music and requests a fast forward, indicating a negative sentiment.",
Positive,"Kendrick won, I’m team Kendrick, but this shi catchy.","The commenter expresses support for Kendrick and highlights the song's catchiness, indicating a positive reaction.",
Positive,Look man everyone has their opinion I get it. Kendrick been clapping back no doubt but Drake is beating him! He making shit you can sit and be like damn he coming for necks while at the same time can have your girl shake her ass to the same song while mfs getting cooked in it! 😂,"The comment expresses enthusiastic approval and excitement about Drake's performance, indicated by phrases like 'beating him' and 'coming for necks', despite acknowledging differing opinions.",
Positive,"I'm just connecting the ""Bodyguards like Whitney"" line. That might be the hardest verse Drake cooked up for this whole beef... well his side of the beef",The commenter is playfully praising Drake's lyricism and suggesting it's a particularly strong and clever verse within a contentious context.,
Positive,Second verse slid 4sure,The use of '4sure' indicates agreement and approval of the song's flow.,
Positive,This almost sounds like the big foot beat,"The comment expresses a positive association with the music, describing it as reminiscent of a well-regarded track (",
Negative,The beat is hard...the lyrics are ass,"The comment expresses dissatisfaction with the lyrics, using a derogatory term ('ass') to indicate a negative opinion.",
Negative,"""Maroon5 need a verse you better make it witty"" 🗣🗣#damn","The comment expresses a critical and demanding request, indicating dissatisfaction with the music video's lyrics.",
Positive,Listening after Kendrick deep fried Drake,The hyperbolic language ('deep fried') suggests a strong positive reaction and enjoyment of the music video.,
Negative,Euphoria better…Drake talking getting his nails done while Kendrick nailing him in the coffin for being a dead beat dad(still) even after Pusha T had to make him start trying to act like one in the first place,"The comment expresses frustration and criticism towards Drake, using terms like 'nailing him in the coffin' and 'dead beat dad', indicating a negative sentiment.",
Positive,1:06 beat💀,The use of '💀' (skull emoji) suggests excitement and a strong positive reaction to the music video's beat.,
Negative,"Bro the song feels so damn out of tune, It's off beat, It's so ass. First we get some verses and then out of nowhere he drops the chorus. Cringy and cheesy ass voice he using bro 🙏🙏💀💀","The comment expresses strong dissatisfaction with the song's quality, using negative language like 'off tune', 'cringy', and 'cheesy'.",
Negative,Kendrick shit was wack af maybe it was the beat,The comment uses derogatory language ('shit') and expresses a negative opinion about the music video's quality.,
Negative,After listening to euphoria.. the best thing about Drake's diss track is the beat I'm sorry it's all nursery rhyme compared to KDOT,"The commenter expresses disappointment and compares the beat unfavorably to another artist's work, indicating a negative sentiment.",
Positive,Kendrick cooked him 😂 drakes is catchy but diss tracks need to have diss component and kendrick has that by 100x.,The commenter expresses admiration for Kendrick Lamar's skills and dismisses Drake's music favorably.,
Negative,This version is sooo ass... STRICTLY cause of the beat,"The comment uses the dismissive phrase 'sooo ass,' indicating a negative opinion of the music version.",
Negative,"This shit is whack as fukk. Remove the beat from this and Kendrick and put both to a click track. You’ll see how garbage Drake actually is, hiding behind beats and producing.","The comment expresses frustration and criticism of the music, using derogatory language and suggesting the artist's work is poorly produced.",
Negative,So how is this beating Kendrick diss,"The comment expresses a critical opinion, suggesting dissatisfaction with the music video's content.",
Positive,Not even all of Drakes ghost wtiters could beat Kendrick,"The comment expresses strong admiration and praise for Kendrick Lamar's music, indicating a positive sentiment.",
Negative,A.I. beat?,"The comment expresses a critical opinion about the music video's use of artificial intelligence, suggesting a negative feeling.",
Neutral,The only thing Hard about this track after hearing Euphoria is the Beat,"The comment expresses a relatively mild observation about the track's similarity to Euphoria, without overtly positive or negative emotion.",
Negative,Drakes song sounds better to the ears but Kendricks song is actually real as fuck. Drake can act hard all he wants and talk all this shit but at the end of the day everyone in the scene knows that lil bro is all bark and no bite and that homie came from canada and had a lil acting career and shit before he ever saw the fame he has now after pretending to be someone he isnt. Drake is not hard. Drake is not from the streets and made himself better. This is why people who have actually been in that life and been through that shit for real dont really care for drake like that. All good to be you but to portray this other character for extra clout or street cred is just beyond cringey now. His music still goes hard but definitely not against people with some real heart and soul behind their music and lyrics.,"The comment expresses strong criticism of Drake's music and persona, labeling him as fake and inauthentic, indicating a negative sentiment.",
Positive,He should have went Memphis on the beat Tay key or Juicy J..,The commenter is suggesting a great song choice and praising the track's rhythm.,
Negative,What did everyone think was going to happen lol. Fuck not being in the same legue kedrick aint even on the same universe in comparison.,The comment expresses frustration and disappointment with the video's outcome and a perceived mismatch in skill levels.,
Neutral,all-is-left-to-beat-kendrick-is-drake-who-is-active,This comment expresses a fan opinion but lacks explicit positive or negative emotional language.,
