classificacao,comentario,justificativa,sentimento_manual
Positive,this is catchy as shit. good job.,The commenter uses enthusiastic language ('catchy as shit') and expresses approval ('good job').,
Positive,I wish all his songs were upbeat darkwave. This song goes so fucking hard,The commenter expresses enthusiastic enjoyment (,
Positive,Bro it really gives me The Cure vibes,"The commenter expresses a positive association with The Cure, indicating enjoyment of the video's style.",
Negative,"Gosh i love the song, but the lyrics is so f-boy, i canttttttttttttttttttttttttttttttttttttttttttt",The comment expresses strong dislike using phrases like 'i canttttttttttttttttttttttttttttttttttttttttttt' and 'f-boy'.,
Positive,The girl is gorgeous<33 luv the vibe,The comment expresses enthusiasm and admiration for the video and the artist's image.,
Positive,"This reminds me of 80s style music, 80s music is very simple and easy beat in music. I love it",The commenter expresses a clear fondness for the music video's style and explicitly states they 'love it'.,
Positive,From insta. Very catchy,The comment expresses a positive reaction (,
Positive,its slowed and reverb version: https://youtube.com/shorts/LTdd5NQyt74,"The comment expresses enthusiasm by referencing a specific, desirable modification to the music video.",
Positive,Need Beats?,"The comment expresses a desire for music, indicating a positive interest in the video's content.",
Negative,Who are the female vocals from?!?!?,The exclamation points and questioning tone indicate frustration and dissatisfaction with the video's content.,
Negative,"Great melody, but shame about the abuser vibes this song's giving.","The comment expresses disapproval and concern regarding 'abuser vibes,' indicating a negative sentiment.",
Neutral,"Let’s be honest, lyrics are trash and empty, but I like the vibe of it if you ignore them","The comment expresses a mixed sentiment, acknowledging a negative aspect (lyrics) while still indicating a positive appreciation for the overall 'vibe'.",
Positive,Uma vibe alienígena futurístico que eu amo e respeito muito!!!! 🛸🤍,The commenter expresses strong positive feelings using enthusiastic language like 'amo e respeito muito' (love and respect a lot) and emojis.,
Negative,"This girl, again GIRL, is hitting what from the back? I am a little lost... This is something only a man could say but never would (unless there are some deviations at play), for the idea that mere sexual positions affect emotional connection is utterly ridiculous. She sounds like a virgin inventing things. I'll just say, the song is 1980s but the lyrics are pure 2020s, sadly.","The comment expresses critical and dismissive opinions about the artist's performance and lyrics, utilizing derogatory language and a negative judgment of the song's content.",
Positive,Vibe😈,The use of the emoji '😈' indicates a positive and playful feeling towards the music video.,
Positive,"I need one more verse, it's over way too soon...","The commenter expresses a desire for more music, indicating a positive reaction to the video's content.",
Negative,Idioticly simplistic tune and awful lyrics. You cannot be serious,"The comment uses strongly negative language like 'idiotically simplistic,' 'awful,' and 'cannot be serious,' indicating a very unfavorable opinion of the music video.",
Positive,very catchy,The comment expresses enthusiasm and appreciation for the song's appeal.,
Positive,This catchy 💯🔥,The use of emojis like 💯 and 🔥 clearly indicates a positive sentiment towards the music video.,
Positive,this is such a vibe!,The exclamation and word 'vibe' clearly indicate a positive feeling towards the music video.,
Positive,Grimes Flesh without blood vibes,The commenter expresses a positive association with the music video's aesthetic and style by referencing a complimentary comparison to Grimes' 'Flesh without Blood'.,
Positive,vibe 10/10,The use of 'vibe 10/10' expresses a highly favorable and enthusiastic appreciation for the music video.,
Positive,I feel such a Zady vibe from this song 💔,The use of 'Zady vibe' and the accompanying heartbreak emoji (💔) strongly indicate a positive emotional response to the song.,
Negative,Ass song ass lyrics,The comment uses a derogatory term ('ass') and implies dissatisfaction with the song's lyrics.,
Positive,This reminds me of Mareux with feminine vocals. Even though it’s Artemas singing it.,"The commenter expresses a positive association with the music video, comparing it favorably to Mareux and highlighting the vocalist (Artemas) positively.",
Positive,Its so catchy omg,The exclamation points and 'omg' indicate enthusiastic enjoyment of the song.,
Positive,Like a good vibe,The comment expresses a positive feeling and appreciation for the music video's atmosphere.,
Positive,Vibe toh hai,'Vibe toh hai' expresses a positive feeling and appreciation of the music video's atmosphere.,
Positive,BABY YESSSSSSSS fuggin sexy ass beat. I love it ❤feed me Seymour!,The user expresses enthusiastic approval and affection for the music video with phrases like 'YESSSSSSSS' and 'I love it' combined with a heart emoji.,
Positive,"I need this on one of the Cyberpunk 2077 radio stations ASAP, it has such a vibe","The commenter expresses a strong desire for the music to be added to a playlist, indicating a positive reaction to the song's atmosphere.",
Positive,the beat is sooooo,The enthusiastic use of 'sooooo' suggests a positive reaction to the music beat.,
Positive,She should do vocals on a 90s type eurodance song. Like maxx or something,"The comment expresses a positive suggestion for the artist to explore a specific musical style and artist, indicating approval.",
Positive,Vibes all day!!,The exclamation and phrase 'vibes all day' express a strong feeling of enjoyment and positivity.,
Positive,the beat gives me gravity fall vibes !!!!,The exclamation point and enthusiastic comparison to 'Gravity Fall' indicate a positive reaction to the music video's beat.,
Positive,I was about four years old in pre school I remember walking up too a girl during recess an kissed on the lips and looked into her eyes with love ❤ I remember the adults laughing and being happy they had other emotions on their faces but don't remember what thee emotions where anyway I was very young but remembered that.,"The comment expresses a nostalgic and fondly remembered experience, indicated by phrases like 'loved' and 'remembered that' with a heart emoji.",
Positive,I sure did... The vibe and the beat just resonates within Me.,"The commenter expresses a feeling of resonance and enjoyment with the music video's vibe and beat, indicating a positive sentiment.",
Positive,"The up n coming on all sides life, to watch your smiles n hopes that you'll remember me n my name Toney Bolden. Nice to meet you. . I like the style of sounds. .something that goes with my style of life. ❤","The commenter expresses positive feelings about the music video and the artist's style, indicated by the smiley face emoji and appreciative remarks.",
Neutral,"I love the song, but don't like the lyrics at all, I feel torn","The comment expresses mixed feelings – positive towards the song and negative towards the lyrics, indicating an overall neutral sentiment.",
Positive,Want a vibe that goes with this song? https://youtu.be/_6TktgCmFKA,"The commenter is expressing a desire for a 'vibe' that complements the music, indicating enjoyment and a positive association.",
Positive,"I’m make the lyrics/ I like the way you kiss me  I like the way you, uh I like the way you kiss me I can tell you miss me  I can tell it hits hits hits not tryna be romantic I’ll hit it from the back  just so you don’t get attached  I like the way you kiss me I can you you miss me I can tell it hits hits hits not tryna be romantic I’ll hit it from the back just so you get attached you bite my lip just for the taste your on your knees I’m on the case you take the heat and with such grace you say we’re done but here you stay said your scared I’ll let you down stick around and you will find out don’t you wanna make me proud cause I’m so proud baby I’m so proud of you I like the way you kiss me I can tell you miss me I can tell it hits hits hits  not tryna be romantic  I’ll hit it from the back just so you don’t get attached I CANT DO MORE SORRY","The commenter repeatedly expresses admiration and enjoyment of the song and artist, indicating a positive sentiment.",
Positive,"this track is so catchy, new order bass guitar vibes 🙂",The commenter uses positive language ('catchy') and expresses appreciation with a positive emoji.,
Positive,Jake webber vibes,"The comment expresses a positive association with Jake Webber's style and music, suggesting enjoyment.",
Positive,This is very catchy,The commenter expresses a positive opinion by describing the music as 'very catchy'.,
Neutral,Who is the female vocalist in this song?,"The comment simply asks a factual question about the music video, expressing no explicit emotion.",
Positive,I love love the explicit lyrics ❤,The use of 'love' and the heart emoji clearly indicate a positive emotional response to the music video.,
Positive,Nice tune and interesting voice modulation from female to male to androgynous. I do kinda wish there was and actual band however... but he is talented.  This sort of reminds me of vintage Fischerspooner or Caribou with a touch of The Weeknd style vocals.,"The comment expresses appreciation for the artist's talent and musical style, alongside a minor critique, indicating a generally positive sentiment.",
Positive,bass gives me blue monday vibes,The comment expresses a positive association with the song,
Positive,the video but the song is a catchy tune,The commenter expresses a positive opinion by describing the song as 'catchy',
Positive,GREAT VIBE! LOVE IT!,The commenter expresses enthusiasm and enjoyment with positive affirmations (,
Negative,Does anyone actually listen to the lyrics??,"The comment expresses doubt and implies a lack of appreciation for the song's lyrics, indicating a negative sentiment.",
Positive,Rex/Rudy Robot vibe,The comment expresses a positive association with the video's aesthetic or theme.,
Positive,"Is it a woman singing or auto tune? If it's a woman then ""I'll hit it from the back"" doesn't make a lot of sense, and if it's auto tune Artemas then why did he turn his voice into a woman's voice? The song is a great vibe, I just had to ask because that seems odd either way.","Despite questioning the vocal processing, the commenter expresses a positive opinion of the song's 'great vibe'.",
Positive,mareux the perfect girl pitch up,"The comment expresses admiration for the artist, indicating a positive sentiment.",
Negative,Almost really good should have more manly deeper tones to go with the chick,"The comment expresses a critical opinion about the music video's tone and suggests a desired change, indicating a negative sentiment.",
Positive,Vibe is sooo good,The comment expresses a positive feeling about the music video's atmosphere.,
Positive,"Incredible melody, the electronic beat and the female vocal","The commenter uses positive adjectives ('incredible') and describes desirable musical elements, indicating a positive reaction.",
Positive,It gives 80s vibes.,"The comment expresses a positive opinion about the video's style, referring to the '80s vibes' which is generally considered a desirable aesthetic.",
Negative,this might be the worst song made in the history of all time,The comment expresses strong disapproval and criticism of the song's quality.,
Negative,"The ""Most Played"" is reversed to every other video I've ever seen, because people keep jumping to the start to listen again!","The comment expresses frustration with viewers repeatedly skipping to the beginning of the video, indicating a negative experience.",
Positive,Crystal Castles vibes,The comment expresses a positive association by comparing the music video to the well-regarded band Crystal Castles.,
Neutral,why am i feeling a mareux vibe?,"The comment uses an unusual word ('mareux') which doesn't explicitly express a positive or negative emotion, but rather a curious observation.",
Positive,alguem conhece mais música dessa vibe?,"The comment expresses a desire for more music with a similar vibe, indicating a positive reception of the video's atmosphere.",
Neutral,"The part at :32 , what is the 90s/00s song that did that same type of rhythm for the lyric delivery? it's driving me crazy","The comment expresses curiosity and frustration, but doesn't convey a clear positive or negative emotional tone.",
Positive,The vibe hits differently exactly 5 days before BAC.,The commenter expresses a positive feeling about the music video's 'vibe'.,
Positive,It’s giving Marina and the Diamonds vibes.,"The comment expresses a positive comparison to a well-regarded artist, indicating enjoyment of the music video's style.",
Positive,"I remixed this track with similar perspective adding a burst of creative energy. Fully immersed in the essence of the music, I found myself drawn to the enduring charm of its basic harmonies and the steadfast reliability of its song structure. It's like rediscovering an old favorite with new eyes – there's a sense of familiarity that brings comfort, yet there's also an exciting element of exploration as I delve deeper into its intricacies. With each beat and melody, I'm reminded of the timeless beauty inherent in simplicity, and the profound impact that tried-and-true methods can have on a listener's soul. In a world of constant change and innovation, there's something deeply reassuring about returning to the roots of what makes music truly captivating.","The commenter expresses strong positive feelings about the music, describing it as 'comforting,' 'captivating,' and 'timeless.'",
Positive,"This is gonna beat billie eillish, waited 5 long years 4 this.","The commenter expresses excitement and anticipation, indicating a strong positive feeling about the music video.",
Positive,this is so catchyyy,The use of the intensifier 'so' and the repetition of 'catchyyy' indicates enthusiastic enjoyment of the music.,
Positive,It gives me old tumblr vibes and i love it,"The commenter expresses a positive feeling by associating the video with a nostalgic and liked platform, Tumblr.",
Positive,gives me the perfect girl by mareux vibes,The comment expresses a positive feeling by stating it's,
Positive,"INCROYABLE, chere moi si tu reviens la 3ans apres, oublie pas la team oreo et c, les notes ? Sa gazz ? ️🥐️L⭕✌ℹ️️💲","The comment expresses affection and a desire for a return, indicating a positive feeling towards the artist and content.",
Positive,getting major gravity falls vibes in the best way possible,"The commenter expresses a positive feeling by stating they enjoy the video 'in the best way possible,' referencing a popular and well-received show.",
Positive,Synthwave is still alive im happy,The commenter expresses happiness about the continued popularity of synthwave.,
Positive,Really love songs like this with that indie synthwave vibe but with more dance edm type what kind of genre is this???,The commenter expresses a clear positive sentiment by stating they 'really love' the music and suggesting a desirable evolution of the genre.,
Neutral,Who is the girl vocal?,"The comment is a simple question seeking information, lacking any explicitly positive or negative emotion.",
Positive,I cant help but to dance to this song.  Darkwave and synth and pop and goth.  So good.,"The commenter expresses enjoyment and a desire to dance, indicating a positive emotional response to the music video.",
Positive,'80s synth-pop will always sell.,"The comment expresses a positive opinion about the music genre, stating it 'will always sell'.",
Positive,"This song really has been out for a month?! , this looks too nostalgic to be out for a month tbh","The commenter expresses a fondness for the nostalgic feeling evoked by the video, indicating a positive reaction.",
Positive,scrolling and randomly finding this vibe 🖤🐈‍⬛🔥,"The use of emojis like 🖤 and 🔥, combined with the phrase 'finding this vibe,' indicates a positive and enthusiastic response.",
Negative,These lyrics give me the ick,"The use of 'ick' indicates a strong aversion and disgust with the lyrics, signaling a negative sentiment.",
Negative,"This song is not it at all, just repeated lyrics and not a song to clap cheeks to🤷🏽‍♂️",The comment expresses disappointment with the song's lack of engaging qualities and uses a dismissive emoji.,
Positive,Finally a song that has the same vibe as mr kitty - after dark,"The commenter expresses a positive sentiment by stating they appreciate the similarity to another song, 'Mr. Kitty - After Dark'.",
Positive,omg it has such a VIBE,The use of 'VIBE' indicates a positive and enthusiastic feeling about the music video.,
Negative,"Why is there ""hits"" in the lyrics, when it sounds like ""this""""?","The comment expresses confusion and criticism regarding a lyrical inconsistency, indicating a negative sentiment towards the music video.",
Positive,THE SYNTHPOP VIBEEEE,The use of 'vibe' in a positive context indicates enjoyment of the music video.,
Neutral,"Nice beat, toxic lyrics.","The comment expresses a mixed opinion – praising the music while criticizing the lyrical content, making it neither purely positive nor negative.",
Negative,"New gen music be like: find some catchy lyrics, beats and repeat the phrase over and over in the final song.",The comment expresses a critical and dismissive opinion about the quality of modern music production.,
Negative,disgusting lyrics,The use of the word 'disgusting' indicates a strongly negative reaction to the lyrics.,
Positive,so 2000-2010 camera vibe,The commenter is expressing a nostalgic and positive appreciation of the video's aesthetic reminiscent of early 2000s and 2010s cameras.,
Negative,What an awful background choice for a equally awful(but great sounding) song.  Thanks TikTok and reels,"The comment expresses disappointment and criticism of the video's background choice, indicating a negative sentiment.",
Negative,this is awful,The use of 'awful' clearly indicates a strongly negative opinion of the music video.,
Negative,Worst music video ever.,"The comment explicitly expresses a negative opinion, stating the music video is 'worst ever'.",
Negative,Worst song ever made on 21st century. 😢,The use of 'Worst song ever' combined with the sad emoji indicates a strongly negative sentiment towards the music video.,
Negative,"Love these lyrics lol. ""I'm proud of you, lets do anal""","The comment contains sexually explicit lyrics and expresses a judgment that is likely considered inappropriate, indicating a negative sentiment.",
Positive,This and if you think im pretty just gives me vibes of an unkown weird power that makes me vibe by doing weird movements with my body.,The commenter expresses a positive feeling and describes a pleasurable experience associated with the music video's impact.,
Positive,"so good, love if it had another verse","The commenter expresses enjoyment ('so good') and a desire for more content, indicating a positive feeling about the video.",
Positive,This gives old vibes combines with more modern vibes idk but i like it quite a lot,The user expresses a positive opinion using phrases like 'i like it quite a lot' despite admitting uncertainty about the combination of styles.,
Positive,This a vibe 🤩,The use of the smiling face emoji and the word 'vibe' clearly indicates a positive feeling towards the music video.,
Negative,"these lyrics disgust me. Just when I wanted to share this with my woman, it says “I can hit it from the back so you don’t get attached” just when I had something to add to our love disco, the artist is a fuck boy ugh",The comment expresses strong disapproval and disgust with the lyrics and the artist's perceived behavior.,
Positive,What a tune!! Need to sample these vocals 🙏🏼,The use of 'What a tune!!' and the prayer emoji indicate enthusiastic approval of the music.,
Positive,2024 vibes 🤘,The use of '2024 vibes' and the '🤘' emoji strongly indicate a positive feeling towards the music video.,
Positive,Perfect blend of nostalgic indie sounds and modern electronic vibes... well fucking done if i may say so myself,The comment expresses enthusiastic approval with the phrase 'well fucking done' indicating a positive sentiment.,
Negative,Charts these days are so strange. You can have high quality music with meaningful lyrics at the top of the chart but then also have songs like this with no meaning...,The comment expresses dissatisfaction with the current state of music charts and criticizes a specific song's lack of substance.,
Positive,I love the cure vibes I get from this song💖💯😎,The use of emojis like '💖' and '💯' alongside the statement 'I love' clearly indicates a positive sentiment.,
